nom,description,domaine,besoin,gratuit,lien
DataRobot,Plateforme IA de machine learning automatisé pour créer des modèles prédictifs,Informatique Sciences,machine learning modèle données prédiction automatisé,payant,https://www.datarobot.com
H2O AutoML,Plateforme open source de machine learning automatisé pour l'analyse de données,Informatique Sciences,machine learning modèle données automatisé open source,gratuit,https://h2o.ai
Orange Data Mining,Outil visuel open source pour l'analyse de données et le machine learning,Informatique Sciences,données analyse machine learning visualisation open source,gratuit,https://orangedatamining.com
KNIME,Plateforme d'analyse de données et de machine learning avec interface visuelle,Informatique Sciences Économie,données analyse machine learning pipeline workflow,gratuit,https://www.knime.com
RapidMiner,Plateforme de data science avec fonctionnalités IA pour analyser des données,Informatique Sciences Économie,données analyse machine learning prédiction science des données,freemium,https://rapidminer.com
Hugging Face,Plateforme open source pour trouver utiliser et déployer des modèles IA NLP,Informatique,NLP modèles IA déploiement recherche open source,freemium,https://huggingface.co
Replicate,Plateforme pour exécuter des modèles IA dans le cloud via API,Informatique,modèles IA API déploiement cloud développement,freemium,https://replicate.com
Papers With Code,Plateforme qui lie les articles de recherche IA à leur code source implémenté,Informatique Recherche,recherche IA code implémentation machine learning,gratuit,https://paperswithcode.com
Liner,Outil IA de mise en évidence et annotation de pages web et PDF pour la recherche,Tous,recherche annotation surligneur organisation notes,freemium,https://getliner.com
Readwise,Outil IA pour mémoriser et organiser les meilleures idées de lectures et notes,Tous,lecture mémorisation organisation notes résumé,freemium,https://readwise.io
Anki AI,Application de mémorisation avec cartes mémoire adaptées par IA à l'apprentissage,Tous,mémorisation révision apprentissage cartes flashcards,gratuit,https://apps.ankiweb.net
Cram AI,Outil de création automatique de flashcards à partir de notes et cours par IA,Éducation,mémorisation flashcards révision apprentissage étude,freemium,https://www.cram.com
Bing Image Creator,Générateur d'images IA de Microsoft accessible gratuitement pour créer des visuels,Design Arts,image génération visuel illustration créativité,gratuit,https://www.bing.com/images/create
Ideogram,Générateur d'images IA spécialisé dans la création de texte dans les images,Design Marketing,image texte visuel affiche génération design,freemium,https://ideogram.ai
Leonardo AI,Plateforme de génération d'images IA pour jeux design et créativité,Design Architecture Jeux vidéo,image génération design créativité jeux visuels,freemium,https://leonardo.ai
Pika Labs,Outil IA de génération de vidéos courtes à partir de texte ou d'images,Cinéma Multimédia,vidéo génération animation création multimédia,freemium,https://pika.art
Suno AI,Générateur de musique IA pour créer des chansons complètes à partir d'une description,Arts Musique,musique génération création audio chanson composition,freemium,https://suno.ai
Udio,Outil IA pour générer de la musique originale de haute qualité par description textuelle,Arts Musique,musique génération création audio composition,freemium,https://www.udio.com
MusicLM Google,Modèle IA de Google pour générer de la musique à partir de descriptions textuelles,Arts Musique,musique génération audio création composition,gratuit,https://aitestkitchen.withgoogle.com
Lobe Chat,Interface open source pour accéder à plusieurs modèles IA via une seule application,Informatique,modèles IA interface chat développement open source,gratuit,https://lobechat.com
Open WebUI,Interface web open source pour faire tourner des modèles LLM localement,Informatique,modèles IA local open source développement déploiement,gratuit,https://openwebui.com
Ollama,Outil pour exécuter des modèles de langage IA en local sur son propre ordinateur,Informatique,modèles IA local open source développement vie privée,gratuit,https://ollama.ai
LM Studio,Application pour télécharger et exécuter des modèles LLM localement sans internet,Informatique,modèles IA local open source développement vie privée,gratuit,https://lmstudio.ai
